text_previous;text_analyzed;text_after
[empieza tema de conversación];És tan difícil ser un tio. La corba d'aprenentatge sexualment i afectivament és, primer, és tot molt jajajiji i després 0. En plan, no saps ni el que li agrada al teu amic, ni el que sent el teu amic, ni res. En plan, ets un adolescent, passes a ser un home o passes a ser un projecte d'home i després ja, ningú parla de sentiments.;És com que si fóssiu, o sigui, socialment se us obliga a ser pedres. Perquè a més, jo, amics tios em diuen, és que jo amb el meu amic no hem parlat mai dels nostres problemes, en plan, hi ha molts homes que utilitzen l'amistat femenina per desafogar-se.
[empieza tema de conversación];Tot i que l'amistat femenina té hàndicaps. Té molts hàndicaps. Com per exemple, i ara obrim el gran meló que tenia moltes ganes d'obrir, la competència entre dones.;Les ties som les més maques, les més simpàtiques, però per culpa, en cap cas per culpa nostra, no vull treure pelotes fora, però vull dir, a nivell social, evidentment encara hi ha molta misogínia, llavors hi ha una competència molt bèstia, i jo me'n recordo que jo de petita era superenvejosa.
[empieza tema de conversación];Creus que seràs milionària? Tens una intuïció dintre que dius, podria passar? O te la suda totalment i ni hi penses?;No hi penso tant, he de dir. O sigui, jo, mentre tingui una casa, estigui tranquil·la, i visqui, doncs, això, tranquil·la, no que m'hagi de preocupar, no soc gaire més ambiciós amb els diners, crec, en aquest sentit. Crec que amb això, tenint un pis així assegurat i més tranquil·la, ja estic bé.
[empieza tema de conversación];T'he de dir que se't nota que has passat com un moment de revelació on has no dic que haguessin perdut valor, però com a mínim que els has donat molta importància a les amigues, perquè el disc que has publicat, si jo quan el vaig sentir, vaig pensar és un disc absolutament d'amor, però d'amor a les amigues. Em va semblar superbonic.;Sí, va ser com un remplantejament de la paraula amor, també, per mi, que és l'amor, que ha sigut l'amor per mi durant tots aquests anys. Sí que és veritat que fins ara sempre havia escrit molt d'amor de parella, no? I em va semblar de sobte absurd, la Bruna, que és la meva millor amiga des que tinc 8 mesos, vam aprendre a caminar juntes, m'ha acompanyat tota la meva vida, perquè no li havia fet mai una cançó.
[empieza tema de conversación];Bueno, pensa que és que el que enredeix un artista són moltes coses. Hi ha la discogràfica, el management, el booking, l'editorial... Hi ha un tema judicial... Hi ha moltes coses que la gent no coneix i que també és un esforç.;Jo, perquè tinc ma mare, que m'ajuda en tot, Però és crazy, hi ha gent molt interessada.
[empieza tema de conversación];Jo ho entenc, perquè jo soc bastant extrovertida, la gent que em coneix sap que m'agrada molt divertir-me, que m'agrada molt conèixer persones noves, al final també forma part de la meva feina i m'he de trobar amb gent de diferents edats, diferents àmbits, però explicar les coses així més personals, més de sentiments, més d'obrir-me, sempre em diuen les meves amigues que em costa una mica més. Llavors ho valoren quan faig un missatge de dir SOS... us vull explicar això, perquè alguna cosa està passant.;Saps que això és una teoria que jo sempre he defensat? Que les persones que aparentment són més extrovertides de vegades som les més reservades, saps?
[empieza tema de conversación];"Superrandom, quin signe ets? Soc Aries. Tothom em diu, jo no en tinc ni puta idea, però tothom que dic ""Aries"" em mira fatal. És que les dones Aries són una mica red flag, però a mi m'agraden.";És que jo tampoc sé res, però jo vaig dir, em compro unes cartes, ja està. Però no porto les cartes, però jo te les volia llegir, però vaig pensar, no, perquè no entenc res del que I què sou vosaltres?
[empieza tema de conversación];En tot cas, una altra cosa que també volem saber és com és el teu dia a dia. Què fa una estrella de Catalunya? O sigui, el meu dia a dia és treballar tot el puto dia, la veritat.;Ara acabo la gira, o sigui, a finals de novembre, perquè li vaig dir a ma mare, en plan, que és la que em porta tot. Li vaig dir, mama, ja està. Jo a partir del novembre, al febrer torno a començar una altra gira.
[empieza tema de conversación];I la meva germana, la Paula, que és la que em porta tota la part de producció de videoclips i tal, també està fins la polla, en plan, superinsistents, però bueno, també ho he creat jo, o sigui, jo ja soc conscient de que si no paro de filtrar coses, en plan, tot el dia estic filtrant coses.;I la penya es pica ja pel Twitter, rollo, si no, i ara esperar 7 mesos, no? Pues no la treguis, doncs no la filtris, no sé què, és que m'encanta.
[empieza tema de conversación];Una altra cosa que ja hem mencionat vagament és que ens cancel·lin a Twitter tota l'estona. Mira, de veritat, si cada tuit que faig algú m'ha de dir ojalà et moris, pues, tia, és que tu ho estàs dient ara, però jo fa com bastants anys que ho dic.;[acaba tema de conversación]
[empieza tema de conversación];Tia, una persona que està servint molt de cony és la Aitana Ocaña, és la millor, ha fet un glow up de cony que em cago a sobre. Però que em cago a sobre, eh?;Ella, per mi, ha fet el mateix que va haver de fer la Miley Cyrus ballant i xupant un martell. Se l'ha infantilitzat, doncs ella va i serveix cony. Punto, ja està, i és el que li toca.
[empieza tema de conversación];"A mesura que et fas gran, comences a conèixer un tipus de gent, és que l'altre dia estava en un dinar que em va impressionar molt, i una persona a la taula està parlant de relacions obertes, i digueren ""Què relacions obertes ni que polles?"" Aquí el que s'ha de fer és tu et tires a qui vulguis i no li dius a la teva parella. De tota la vida s'ha fet sempre així per algo"".";També hi ha gent que, és com en pla, l'altre dia algú em va dir, sí, quan ja portes 3 anys amb la teva parella ja s'entén que li poses els cuernos.
[empieza tema de conversación];Però això als mil·lenials els passa molt, perquè crec que totes aquestes fases que haurien de haver viscut a l'adolescència,i no ho han viscut i llavors ho estan vivint tot com tard, saps? Perquè totes aquestes coses els han arribat tard.;[acaba tema de conversación]
[empieza tema de conversación];O sigui, generació Z som superintuitives, llavors per això no sabem utilitzar aquestes coses que són com que t'has de mirar un tutorial, aprendre-t'ho de memòria, com funciona.;No entenc res, a mi m'ho feien fer quan anava a l'ESO, i jo estava fatal
[empieza tema de conversación];És que tot va relacionat amb els mi·lenials. Tots els camins porten a Roma i totes les converses porten als mil·lenials.;Tumblr, Ask, Messenger, tot això, La meva mare fa servir Messenger encara.
[empieza tema de conversación];Aquest cop passarem a parlar amb una persona que no és tan ravera. Una persona catalana per excel·lència de sortir de festa.;La Gemeta la Divina! La més simpàtica, hola!
[empieza tema de conversación];Vaig agafar una borratxera un dia amb el roncola, per primer cop a la meva vida, i vaig dir nunca más. Totes les meues amiguen volien roncola, i jo vaig dir, va, jo també, per no agafar-me res sola, saps? I el vaig començar a beure, jo crec que me'l vaig beure molt ràpid. Era un got d'aquests d'un litre.;I com jo no sabia quin sabor havia de tenir, si estava fora o no, me'l vaig fotre com si fos Coca-Cola sola.
[empieza tema de conversación];Mentrestant, Julieta, quan vas dir, quan vas fer el boom, quan vas dir, oh, soc famosa?;No ho sé, és que jo a vegades és com que no m'entero, saps? És que no, perquè clar, jo d'això no sé, moltes vegades ho reflexioné perquè em sento així, però no sé, és que jo em sento com sempre igual, com que tampoc Però no és sempre igual perquè has anat als putos Grammys, també.
[empieza tema de conversación];I bueno, és que aquest tema va ser del gener, o sigui, en feia un munt que el portàvem per live, va sortir a l'estiu. O sigui, em va costar molt com trobar els timings per poder treure-ho, per gravar-ho, per tot, o sigui, molt, però ho ha petat molt.;Molt, ho ha petat un piló.
[empieza tema de conversación];Per primera vegada hem portat algú que el seu imperi romà és l'imperi romà de debò. Però perquè tots els homes necessitemtenir una autistada amb la qual enganxar-se.;Però espera't, una pregunta. Llavors, tot Roma en general vol dir que la Roma vol dir que Roma ara mateix... Olora malament i està molt bruta.
[empieza tema de conversación];Un dia, un dia, estava tornant l'Unai de la dutxa i em vaig amagar al lavabo. I vaig pensar, soc la millor, susto, divertida, she is so crazy.;"I de cop li foto un susto i fa ""Ah, Estava així"", tia, i jo pensant, gay."
[empieza tema de conversación];Què opines de l'Alberto Gadel? És divertit, és qui posa l'esquena a aquest podcast. És que sabia que diria alguna cosa bona, només per llepar-te el cul, és que és un maricó.;[acaba tema de conversación]
[empieza tema de conversación];Belén, quan em vas començar a seguir al TikTok, vaig tirar el mòbil al terra. I llavors vaig dir, bueno, és el meu moment de tirar-me un triple i escriure-li un missatge.;Hola, vols venir al meu podcast? Jo pensant, mai seré resposa.
[empieza tema de conversación];Jo ho recordo tots els youtubers que hi viuen en aquell moment, i jolín, era molt guay. Poca representació catalana, tant de bo més contingut en català.;És veritat. Però saps què passa? Que no teníem referents, saps? I era com ser el primer, ja costava molt.
[empieza tema de conversación];En fi, tornant a les xarxes de la pressió social, hashtag pressió estètica. Jo m'estic tornant molt boja. Jo jo ara que em dedico a això, m'han sorgit tants complexos de sobte de quan xerres, fas així amb la boca, quan no sé què… coses tan estúpides.;No, però és com, tu quan et miris has de veure el que no t'agrada millorar-ho si pots, i si no és que és la teva manera de ser, i no és res dolent, saps?
[empieza tema de conversación];L'únic que, en tema projecte estètic a xarxes, la gent diu molt Photoshop, tant no sé què, ara el Photoshop per mi té un punt boomer, jo crec que ja no s'utilitza tant. Sí, i també, sobretot, el retoc i les operaciones estètiques.;O sigui, a veure, jo amb les operacions estic super d'acord sempre i quan ho facis per tu, no pel que pensin els altres sobre tu, saps? És com, si a mi m'acomplexa, jo què sé, per exemple, jo tinc el nestor perquè ma germana em va fotre un balonazo quan era petita i em va desviar el tabique, però és com, si puc respirar, respiro.
[empieza tema de conversación];La meva millor amiga és advocada. I veig com va quedar a dir que fa outfit of the day a l'ascensor i dic, és que em moro si he d'anar així.;O sigui, jo no podria ser advocada si he d'anar així vestida, amb bufete, saps?
[empieza tema de conversación];Ah, et volia parlar sobre això, no estava en el guió, però crec que una cosa que tenim en comú, tu i jo, i molta gent que es dedica a la comunicació, és que som pick-me per naturalesa in a good way.;En plan, crec que ser pick-me, ho he après gràcies a tu i amigues meves que també ho som, és una cosa bona, que ve donat per el nostre aferrament ansiós. I crec que som pick-me en els vídeos i som una mica pick-me a la vida real, però som així.
[empieza tema de conversación];Però és molt guai, en veritat, tenir molts germans. És la hòstia.;I mira que tu fas molta pinta de ser filla única. Hi ha gent que la veus i automàticament diu filla única.
A més, avui parlarem d'aquest tema perquè tu i jo estem en el mateix moment vital i vaig pensar Necessito que vingui Cèlia a Espanya, i és la solteria.;Em sembla super. Perquè estem solteríssimes, oi Cèlia? Solteres i plenes.;A més, és fort que tu diguis això perquè tu et vas començar a fer coneguda per el tema de Busco un catalanet.
A mi em passa que a vegades sí que em sento una merda de persona, però crec que dintre de la gent tinc prou de seguretat de mi mateixa.;I amb el tema de les idees crec que potser és perquè estic envoltada de gent que té molt bones idees tota l'estona, però em trobo a mi mateixa sempre admirant les idees dels altres i el que sigui i pensant que ni fu ni fa.;Llavors penso, clar, també és veritat que llavors és molt fàcil. Si un dia tinc una idea, llavors potser sí que puc ser jefa.
A mi fa un temps, fa pocs mesos, em va enviar un missatge per Instagram una influencer espanyola, molt coneguda. Es diu **** no sé què.;Osigui que esta noia és tonta del cul.;[acaba tema de conversación]
A mi m'ha acostumat a passar bastant, vull dir, no és molt recurrent, per sort, però que sí que hi ha molts homes que em diuen en plan, bueno, jo estic veient els teus vídeos, crec que tens molt potencial.;Els homes dient, donant-te el copet a l'esquena, crec que tens molt potencial. I, ojo, no és una qüestió egocèntrica, ni és una qüestió de creure més que ningú, però aviam, i de dir-me, però crec que si fessis això als vídeos, i fessis aquesta edició, i parlessis d'aquesta forma, tindries més viralitat.;Sí? Molt bé, moltes gràcies pel consell. Moltes gràcies, vaig apuntar-m'ho a la meva llibreta invisible.
A mi també, perquè hi ha cada gent que fa unes merdes, com, per exemple, els 3 homes que llueixen exactament igual.;És que jo, és a dir, com a creadors no els coneixia, els he conegut arreu de treballar amb algun d'ells... O sigui, he mirat el seu contingut després de treballar-hi, llavors ara hi ha alguns noms que en sé, però és veritat que encara em perdo una mica. Doncs imagina't jo que sóc TDAH.;[acaba tema de conversación]
A part dels prejudicis que engloba l'estètica, també és molt complicat quan ets noia o et sents identificada com a noia, perquè és igual, tu pots ser divertida, tu pots ser llesta, però sobretot sempre has de ser guapa.;O sigui, jo me'n recordo, per exemple, a l'institut que t'estàs descobrint, que jo vaig veure que era una, això, evidentment, va a opinions, però jo em considerava una tia bastant divertida.;Però em costava molt mostrar aquesta faceta divertida amb gent, perquè era com, primer de tot, el més divertit de la taula de ser un i jo rient a bromes de merda sobre futbol que evidentment no em feien ni puta gràcia i segon de tot és com ostres que de sobte sóc menys atractiva si faig una broma vulgar és que no és de noia ser graciosa saps?
A tu això t'ha afectat, en l'hora de tenir cites o tal, o de la teva autopercepció, o de saber que la gent pot pensar això de tu? Sí, sí, sí, m'ha afectat, de fet, quan he sortit de festa, però és que realment m'ho he buscat jo, eh?;Quan he sortit de festa a llocs, en plan, low profile, rotllo, no vull que em conegui ningú, no sé què, jo sortia amb les amigues, i clar, la gent me coneix a mi, però no a les meves amigues, llavors, si hi ha una amiga meva a por ahí i hi ha un grupet, ells poden escoltar les converses de la gent parlant de mi, llavors la gent com ha de dir alguna cosa com la del català, o sigui, frases odiant el fet que jo busqués català i jo estar en aquest mood, saps?;En plan, ensenyant-se la polla i dir, mira, aquí tens el teu català, no sé què, saps?
A veure, també com que jo crec que si ets petit, vas agafant una mica de, això m'agrada el meu germà, això li surt bé, vaig a veure com ho fa, saps?;En plan, sí que és veritat que, per exemple, si veia la Irma o l'Alba que sí que estan més properes a la música, no? I tal, doncs sí que veia, buà, m'agrada com fa això i tal, i jo, potser al meu germà li vaig copiar fer skate.;Sí, sí, que et contamines molt dels teus germans, sobretot si ets el petit, com és el teu cas.
Ahir vaig estar parlant per primera vegada amb un home i em va dir, estic esperant el teu Get Ready With Me quan quedem per fer una birra. I vaig pensar Toca parar, jo no soc més tiktoker.;"Però perquè en el moment penso, jaja, quina gràcia, i ho penjo pensant que no ho veu ningú, i al final ho veu gent, saps? I és com ""Ay quina por"".";Ja, però és que no sembla que ho vegi gent, perquè tu penses, són números, potser són totes més visualitzacions de tantes vegades que miro el puto vídeo.
Així que anem a parlar de normes no escrites. És que en les amistats hi ha normes no escrites, és a dir, hi ha còdics que no cal verbalitzar, però que tu ja hauries de saber que està obvi o malament.;Per exemple, per mi és superimportant que si tens una amiga o un amic t'ha de dir si tens un nòvio de merda o no. És una cosa que genera molta controvèrsia, perquè separa molt. En plan, si tens un nòvio de merda, és com, ostres, o el teu nòvio o jo.;Però jo crec que aquesta primera instància de, aquest paio tatuat amb bigoti, és un gilipolles.
Això de dir que li passa a tothom i que persones que tinguen el meu entorn, que són superavisades a la moda i que els encanta, tenen la mateixa sensació, que és que a l'estiu et despulla d'identitat i estil personal, perquè de cop i volta la practicitat de no morir-te de calor passa per davant de totes les idees creatives que tu tens sobre com t'agradaria vestir.;"A mi m'ha agradat el que deies, Clàudia, no és per començar dient la culpa, és del capitalisme, i m'he recordat com d'un meme que és la carta de ""chúpate 4"" del Uno, però que és la culpa és del capitalisme.";I una cosa que m'ha passat aquest any és que tinc la sensació que aquest estiu està sent pitjor per tenir un cos. I llavors m'agradaria com posar aquest tema sobre la taula i que em digueu si esteu o no esteu d'acord.
Al mateix temps, també crec que jo crido tant justament per tenir molts germans. O sigui, perquè era amb tanta gent casa meva. Perquè no t'escoltes literalment. El que tu vens a casa meva, o sigui, el meu nòvio el primer cop que va venir va dir, uou. No es pot explicar.;O sigui, és com jo, per 5, les meves germanes anades de la castanya, el meu pare, el meu germà Molta gent, tia, i tothom cridant.;Hi ha molt poc temps per dir les coses. Llavors, o les dius ràpid i cridant, o com també diuen que les ties parlem molt ràpid perquè sempre se'ns ha deixat molt poc temps.
Aquesta cosa que tens, o sigui, jo et noto molt l'actitud aquesta de dir, posem el freno, en un moment on podries tornar-te absolutament loca i dir, vaig a aprofitar totes les oportunitats que m'estan sortint i generar-ne encara més, però anem a poc a poc, fem-ho bé, cuidem-ho, no correm massa. Això et va sortir des del primer instant? O és una cosa que te'n vas adonar perquè et vas entrebancar mig camí o perquè de sobte vas dir, ui, poder això, està agafant una velocitat que veig que no serà bo pel meu projecte?;Jo crec que sí que potser vaig començar més a tope, amb tot, però no, no, va arribar un punt que era com és que per fer les coses bé i per construir alguna cosa sòlida has de fer les coses a poc a poc, molt ben pensades, molt cuidades. Jo també sento que com a artista he crescut molt i també vull ser una bona artista, em refereixo com a cantant, com a compositora, si tot això no és molt sòlid i no tens una base molt sòlida, no m'agrada tirar-ho tot, no sé;Vull viure-ho tot també, m'agrada viure-ho, jo ho disfruto molt aquesta feina, m'encanta aquesta feina, no em vull anticipar, no vull cremar tapes, vull viure-ho tot bé i també coherent amb mi, no vull forçar res, a vegades sento que potser sacrificar coses per aconseguir altres coses.
Ara està molt de moda parlar d'això amb Just a Girl, tal, no sé què, però tu ja fa molt temps que parles d'això. Com ho portes?;La veritat és que ho porto bé, ho porto contenta ara mateix, però els 3 cops que tu i jo hem coincidit he dit que ho portava regular. O sigui, molta teràpia, perquè parlar de I'm just a girl en un món d'homes és força complicat, però aquí estem 2 ties intel·ligents, que crec que és important que ens ho diguem a nosaltres mateixes i anar fent, a poc a poc.;En públic es porta bé, sense càmeres es porta fatal.
Ara hem començat per fer-te unes preguntes d'introducció.;La primera és, de l'1 al 10, com és de pesada la gent amb la teva família? Jo crec que de l'ú al 10, un 7. A la que t'acostumes, baixa. l feedback del principi potser sí que et toca la polla, però jo crec que ara és un 7.;Pensàvem que estaries més farta, eh?
Bé, avui parlarem d'un tema que té a veure amb l'estiu, però que té a veure sobretot amb com nosaltres ens relacionem amb l'estiu i en com percebem que tenim un cos a l'estiu, perquè a l'estiu molts cops hi ha molta gent que torna a prendre consciència que no només és un ésser que és un ànima que volta pels llocs, sinó que aquest voltar pels llocs implica que hi ha un cos que es desplaça i aquest cos té moltes formes i a l'estiu normalment es veu més.;No parlo només d'anar a la platja, parlo de moltes altres coses, de com ens senta la roba, de si subim les samarretes, de si se'ns veuen els mixelines dels braços, o sigui, jo crec que prenem més consciència a l'estiu que tenim un cos i de quin cos tenim.;Llavors, no sé si això ens passa a tots, si no, no sé què penseu vosaltres.
"Bé, de fet, vaig començar a fer en una secció el ""Tot es mou"", potser fa 4 anys, perquè és prepandèmia, per Skype. Sí, i parlava molt del que jo volia. A més, em van fer un tipus de prova que clar, que jo no sabia que això passava, que era com, et volem fer una entrevista un dia, em van dir. I jo, ha vale de puta mare.";I em van fer com una entrevista com per Skype, que no sé ben bé de què vam parlar, però era com per parlar d'un tema concret. I ella ens en va trucar al cap d'una setmana i em van dir, ah, bueno, sí, també, en plan, si ens podem veure la temporada que ve i et fitxem, també. I jo, evidentment, I'm super in.;"Clar. Després va resultar que em sembla que el ""Tot es mou"" va ser quan a les manifestacions del 19."
Bueno, venim a dir les característiques d'aquest tipus de persones, de les mil·lenials.;Jo, de fet, tinc un TikTok que es va fer molt viral i molts de mil·lenials es van enfadar molt perquè els vaig criticar, però és que, amore, si dic verdades como a puños i t'ofens, és per a algú. Si et sents identificat no és culpa meva, què diríem?;O sigui, el hate està justificat sempre i quan l'altra persona se senti malament.
Cal, realment, parlar tant, explicar tantes coses, o sigui, cal. I pensava, demà serà diferent. I allà ens intentava canviar la meva personalitat, en plan, demà aniré i estaré en silenci i tal, no sé què.;Evidentment no passava, i a l'adolescència encara es va incrementar més, perquè a sobre jo vaig viure l'adolescència en un moment on crec que es premiava molt el fet de ser una noia misteriosa, on la Vanessa Hudson era el model a seguir, i per tant, si tu eres una tia que rutava i cridava tota l'estona, doncs no acabaves de ser ben vista.;És que per mi hi ha com, amb les meves amigues tenim una teoria, que és que hi ha com 2 extrems de persones. I pot sonar, pot semblar que ho dic despectivament, però gens ni mica, eh? Però per mi hi ha com les persones polèmiques, que és això que estem dient, i llavors hi ha com contràriament les persones gris.
Canviant molt de tema, volem saber com descriuries el teu fandom, perquè jo crec que és com les Swifties, però a versió catalana. O sigui, és terrible, està tothom completament obsessionat, tothom porta gorra, és una cosa Sí, les gorres són superintenses, són megaintenses, lesbianes, gais, girls És molt heavy, és molt heavy.;Jo, el meu fandom crec que són lesbianes, nois que els agrada molt el futbol, perquè llavors tinc la connexió aquesta, i gais, però no crec que tingui tants homes gais, eh?;Tinc més, o sigui, sí, en plan, tinc bastants, però jo crec que tinc molta més lesbianes. I lo de les lesbianes és surrealista.
Com ens hem d'imaginar per això el dia a dia a Can Farelo quan éreu petits? Jo m'imagino el vostre pare tocant la guitarra tot el rato, la vostra mare ja fent de manager, però a nivell familiar;No, en veritat, a nivell artístic era superchill, en veritat, o sigui, com una família numerosa, ens despertàvem a tots, anàvem amb bici fins al col·le, anàvem al col·le i després ja ens van començar a apuntar a fer classes de música i tal, però com qualsevol família, la veritat, en plan, no estava el meu pare tocant la guitarra.;Però com qualsevol família, numerosa. Perquè jo crec que es nota molt l'energia de quan algú ha crescut en una casa amb molts nens i quan algú ha crescut en una casa amb menys nens, que crec que les cases on hi ha més infants són cases amb molta més creativitat, molt més explosives.
Com es modernitzi, s'haurà perdut Catalunya. De fet, espero que no es modernitzi mai TV3.;És igual que una persona de TikTok Catalunya, que avui ha penjat, o ahir crec que va penjar un TikTok, la cosa més boomer que he vist a la meva vida, i tu l'has vist perquè has comentat.;De fet, crec que ets l'únic comentari. Com un vídeo de música que ha penjat de la Cèlia Espanya.
Com ha perjudicat o ajudat, no sé quina 10 ser la paraula correcta, el projecte de tiets a la vostra relació com a amics?;Hòstia, jo crec que al principi era més difós i potser més complicat, però amb els anys també hem sabut trobar els espais com a col·legues i els espais de feina, no?;Podem estar un diumenge a la muntanya com a col·legues i el dilluns a les 9 del dematí em pot estar fotent una trucada dient-me, espavi la casa meva, no sé què…
