text_previous;text_analyzed;category;subcategory_num;subcategory;text_after
[empieza tema de conversación];Había una chica, esta tía era del Reino Unido, y su familia era súper religiosa, pero súper religiosa a lo bestia, protestante. Lo típico de falda hasta los tobillos, nunca había hecho nada con nadie y tal.;1. Lexicon and Vocabulary;1.5;Informal intensifiers and quantifiers;¿Sabes el síndrome de Jerusalén, que es que la gente viene y le da un sentimiento muy heavy de no a Jesucristo? Pues yo creo que le pasa lo contrario, sea, fue heavy metal.
[empieza tema de conversación];¿Y el Cairo qué tal? Está muy guapo como unas pirámides que dices, Dios, es probablemente la cosa más tocha de la humanidad.;1. Lexicon and Vocabulary;1.5;Informal intensifiers and quantifiers;Hicimos una ruta de 14 días. Íbamos a Urgeada y hay un tío muy random que nos empieza a seguir. No me acuerdo ni cómo se llama.
[empieza tema de conversación];Yo me fui de Jerusalén como en julio del 2023 y había muchas tensiones muy heavies. A lo mejor tiraban en un día cinco mil misiles encima de Tel Aviv, que nunca tiran a Tel Aviv.;1. Lexicon and Vocabulary;1.8;Neologisms;A lo mejor tiraban en un día cinco mil misiles encima de Tel Aviv, que nunca tiran a Tel Aviv. Claro, yo me acuerdo muchas veces que a lo mejor estaba donde mi joyero, porque yo tenía allí un joyero en Jerusalén que el tío estaba pinzado de cojones.
[empieza tema de conversación];¿Y tu profesor sigue por allí? Creo que se jubiló ya porque la había estado trabajando muchísimos años en plan en un montón de colegios de todos lados.;3. Pragmatics and Discourse;3.1;Discourse markers;Estuvo en Botsuana. Y yo sí que he mantenido contacto por email. Algún día me gustaría reencontrarme con él.
[empieza tema de conversación];Bueno, pues estaban las gárgolas de las iglesias, tal, tal, tal, tal. Una iglesia en Barcelona que se llama Santilli Pereri, que es una iglesia preciosa, fue bombardeada en la Guerra Civil.;3. Pragmatics and Discourse;3.1;Discourse markers;Hay gente que pregunta que si las gárgolas son cañones para disparar.
[empieza tema de conversación];Hay muchísima gente que se piensa que aquí en España es como que nos educan con que Colón era el salvador y bla, bla, bla. Cuando vienen aquí, yo creo que de buena fe como que nos quieren cambiar totalmente esa visión.;1. Lexicon and Vocabulary;1.7;Onomatopoeia and sound representation;Hay gente que no sabe lo que es Cataluña. Gente de Argentina, México, Colombia. Yo cuando viajo a un sitio, intento mirar un poco dónde voy, ¿no? Hay gente que este paso lo suele omitir y te dice que si Cataluña es la capital de Barcelona.
[empieza tema de conversación];¿Pero Antonio Gaudí sigue vivo? Una polla que te han preguntado si sigue vivo.;3. Pragmatics and Discourse;3.3;Irony and sarcasm ;Y te han dicho algo del tranvía, pero ¿cómo le pude pillar?
[empieza tema de conversación];Una de las cosas que me gusta es el cuñado histórico. Yo lo identifico siempre con las catedrales. Un imán para los cuñados históricos que se pongan delante de una fachada y digan esto es románico, esto es gótico, esto tiene de todo.;3. Pragmatics and Discourse;3.3;Irony and sarcasm ;Gente que le dice a su amigo, a su pareja, lo ves.
[empieza tema de conversación];¿A ti te habrán vacilado los más grandes? Te vacilan sabiendo que te están vacilando.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Tú, 10 minutos menos de recreo, ¿qué te dicen con toda la cara? Ey, que me han castigado también.
[empieza tema de conversación];Uno de ellos, por, ejemplo, le llamaban el Patillas, que no sé por qué le llamaban el Patillas, porque no tenía patillas. Era un hombre mayor con mucha mala leche. Venía con su bastón y siempre pasaba por las cajas de autopago.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Le tenían prohibido pasar por las cajas normales porque siempre insultaba y agredía a las compañeras con el bastón.
[empieza tema de conversación];Lo mismo. te encontrabas a la señora que decías que llevo 50 años comprando aquí, pero luego, cada vez que venía, te preguntaba dónde estaban los huevos… unas fantasmadas, tío;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;[cambio de tema]
[empieza tema de conversación];Fue una vez una mujer y llevaba un carro de la compra petado hasta arriba. Lo pasé tal y ya me empezó a decir de malas formas, que necesitaba otro carro. Pues, ves a buscarlo, ¿no?;3. Pragmatics and Discourse;3.1;Discourse markers;Oye, estoy pasando la compra, yo no te voy a traer otro carro. Me dijo: ah, que no me lo vas a ir a buscar tú.
[empieza tema de conversación];Había mucha gente que me decía que quería venir de vacaciones a España. Y yo le decía a ti en el aeropuerto, cuando te pregunten, di que vas a Portugal. Y no me pillaban el lore.;1. Lexicon and Vocabulary;1.8;Neologisms;¿Y los niños conocen el lore? Los niños saben que nos conquistaron, sí.
[empieza tema de conversación];Me soltaron un zasca con el tema de novios. Un niño de 13 años que me dejó temblando.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Son chavales, entonces yo intentaba encontrar puntos en común con ellos. Y a mí los videojuegos me gustan mucho. Y digo, pues mira, yo juego un poco de todo. Me gusta mucho Assassin's Creed. He jugado al LOL. Me mira fijamente y me dice, ¿tú has jugado al LOL? ¿Tú no tienes novio, ¿verdad?
[empieza tema de conversación];Una de las cosas también muy bonitas de esa edad son los amoríos. ¡Uf, qué puterío! Habían unos baños mixtos en el instituto. Yo en esos baños no entré nunca.;1. Lexicon and Vocabulary;1.7;Onomatopoeia and sound representation;Habían unos que eran en la planta baja. Me da miedo lo que me pueda encontrar en este baño.
[empieza tema de conversación];Ya no es la caca, ya no son los guiris, ya es el ambiente del centro por la noche. Desde los NPCs que te rapean con el micro en plan, no, yo, la chica pelirroja, no sé qué, Está el de Michael Jackson, que lleva como un guante. Es una persona que se le ve que algo no está bien, llevaba como un guante blanco y hacía lo de caminar para atrás.;1. Lexicon and Vocabulary;1.6;References to popular culture and memes;[acaba la conversación]
[empieza tema de conversación];Aquí donde me viese una cámara súper simpática. Lo que pasa es que si me tocas los cojones, hermano, había gente que me decía, no, pero ponme la copa más larga.;3. Pragmatics and Discourse;3.2;Familiar address or vocatives;Le digo, ¿vas a dejar propina? Y yo, sí. Y le digo, pues si tienes para dejar propina, tienes dinero para pagarte otra.
[empieza tema de conversación];Hay una movida que yo le llamo el volcán, que es cuando un váter se atasca, atasca un váter con diarrea, ojo, es jodidísimo. Tienes que estar muy fucked por dentro.;1. Lexicon and Vocabulary;1.8;Neologisms;Y pasa mucho en los váteres que si tú tiras una vez de la cadena, hace como el y luego vuelve a subir un poco, ¿vale? Entonces se queda un poco elevado el nivel del agua.
[empieza tema de conversación];Obviamente, un poquito de postureo de vez en cuando. Un poco de decirte que has ido de vacaciones en tal sitio. Es que una foto bonita no hace daño a nadie. No hace falta no hacer fotos.;2. Non-standard linguistic features;2.2;Colloquial syntactic structures;Estar en una playa de puta madre, le echas una foto a la playa porque hay una puesta de sol impresionante, no hay ningún tipo de problema. Cada uno es libre de hacer lo que quiera como quiera.
[empieza tema de conversación];Una señora mayor que me llama, me dice, la tarjeta que me han robado en un bar, no sé qué, bla, bla, bla. Es que fui a orinar y cuando volví ya no estaba.;1. Lexicon and Vocabulary;1.7;Onomatopoeia and sound representation;Y oigo una voz por detrás que le dice, pero para aquí no le digas que fuiste a orinar.
[empieza tema de conversación];Yo lo cuento así y digo, jajaja, qué gracioso, porque en realidad no le estás haciendo nada malo, porque le estás cambiando la luz. Quiero decir que tampoco es que le estés poniendo la hipoteca de su vida.;1. Lexicon and Vocabulary;1.7;Onomatopoeia and sound representation;Normalmente las ofertas que había eran bastante buenas, pero sí que te ibas diciendo, joder, esta señora me ha llamado por lo de Nefertiti y le he hecho un contrato de luz totalmente innecesario, ¿sabes?
[empieza tema de conversación];Raquel se quedó para nuestros corazones en este canal. Y cada 2 por 3 gente que ha vuelto a ver el vídeo, o gente nueva que ha descubierto los vídeos, dice, ¿cuándo va a volver esta chiquilla? Ha vuelto.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;¡Hola!
[empieza tema de conversación];Fuimos a casa de un señor, de una pareja británica, muy monos, en la zona más rural de los rurales de los rurales de Burgos. Llevaban como pollas de años ahí.;1. Lexicon and Vocabulary;1.5;Informal intensifiers and quantifiers;[cambio de tema]
[empieza tema de conversación];Son tan orgullosos del francés. Francia lo mejor, los franceses lo mejor, la gastronomía francesa lo mejor y yo me cago en la gastronomía francesa.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Es verdad. Yo he estado en restaurantes franceses y todo, comiendo gastronomía allí. Yo he hecho el intento y no está mal.
[empieza tema de conversación];Mira, yo me llamo Iván, para todo aquel que no me conozca. Y como ya he explicado perfectamente, yo he trabajado hablando mal y pronto, dando el coñazo a la gente para intentar que acepten a algún compañero ir a la vivienda.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Y ese era mi objetivo, que la gente fuera a la vivienda e intentar vender alarma.
[empieza tema de conversación];La Cruz Roja dijo que iba a denunciar a la policía en mi nombre, que no sé qué. Luego la policía pidió perdón. Una movida más rara, tío. Jódeme más esta vida gitana que tengo, vamos.;1. Lexicon and Vocabulary;1.6;References to popular culture and memes;[cambio de tema]
[empieza tema de conversación];La gente tiene mucho odio contra los franceses y lo entiendo, pero tengo que decir que yo en mi caso desarrollé un odio con la gente italiana. Es como un español, pero en nivel de cuñado como al máximo.;1. Lexicon and Vocabulary;1.6;References to popular culture and memes;Es así, o sea, les encanta montar un escándalo, les encanta hacerse notar borrachos.
[empieza tema de conversación];Vamos a abrir ese melón. En el anterior vídeo hablamos de sitios menos pudientes, ahora estamos hablando de sitios pudientes. Hablamos de colegios privados ultracatólicos en el centro de Madrid, en los cuales yo me he cruzado con la mayor chusma que te puedes imaginar.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Era un campamento urbano en el que yo tenía niños de segundo de primaria, en el cual había un niño que su madre trabajaba en el colegio. Pues a ese niño, como la madre trabajaba en el colegio, no se querían juntar con él jugar con él, luego además en ese colegio yo tenía por contrato que yo no podía ni rezañar ni castigar ni quejarme a los padres
[empieza tema de conversación];Una vez, creo que fue el mes de julio más o menos, había un cliente francés. Típico cliente francés de unos 50, 60 años, ¿vale? Que se le abrió el coche y tuvo que contactar con el seguro de Francia. A esto el señor no hablaba ni pipa de español, ¿sabes?;3. Pragmatics and Discourse;3.1;Discourse markers;Me pidió ayuda para traducirle, para contactar con el taller, para saber dónde tiene que llevarlo, a qué hora podía llevarlo, etcétera, ¿vale?
[empieza tema de conversación];Siempre que he grabado algún vídeo en Inglaterra y he pillado a un irlandés o una irlandesa, el comentario estrella que siempre me han soltado en todos los vídeos que he grabado allí ha sido cagarse los muertos de Inglaterra de arriba abajo.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Eso es una cosa que tenemos en común los españoles y los irlandeses, odiar a los ingleses.
[empieza tema de conversación];Bueno, antes de pasar la anécdota, yo te tengo que preguntar, porque eso es algo que tiene muchísima fama de la India, de su gastronomía, y sobre todo, de la experiencia de muchos amigos míos que han ido allí, es la primera cagalera.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Cuando te vas a un sitio extranjero, lo primero que te dicen es no bebas el agua del grifo, porque no estás acostumbrado, Cuando te vas a un sitio extranjero, lo primero que te dicen es no bebas el agua del grifo, porque no estás acostumbrado, te dicen
[empieza tema de conversación];Los derechos de la mujer a veces dejan bastante que desear. Sigue estando al orden del día que la mujer se quede en casa, tareas del hogar, o sea, lo típico rancio que es eso.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Y, por ejemplo, los matrimonios concertados aún existen. Es algo que siempre se ha parodiado en prácticamente casi todas las comedias americanas y británicas.
¿Alguien que no ha habido cojones de entender que haya terminado la conversación y todavía no te haya enterado de qué iba la cosa?;Sí, sí, he tenido algunas. Bueno, bueno, no sé decirte qué, porque no tenía ni puta idea de lo que me estaba diciendo.;1. Lexicon and Vocabulary;1.1;Lexicon of insult;[acaba la conversación]
¿Cómo es la primera vez que llega a Disneyland París?;Es muy mágico todo. También muy top secret. Lo lleva muy a rajatabla el tema de los trabajadores no subir cosas en redes sociales.;1. Lexicon and Vocabulary;1.8;Neologisms;[cambio de tema]
¿Cómo ha sido el cambio de la idea preconcebida que tenías de Alemania a lo que tú has visto ya? Ya no solamente con respecto al colegio e instituto, sino en términos generales. Es un país que lo tenemos muy idealizado.;Yo lo tenía muy idealizado cuando vine, porque te venden la hostia, encontrarás trabajo porque había mucha oferta de trabajo, no sé qué.;1. Lexicon and Vocabulary;1.1;Lexicon of insult;Por ejemplo, en el tema burocrático, estos también le pasan a uno por la cara en Alemania mil veces. O sea, aquí la mayoría de las veces es todo presencial, aun con papeles, o sea, tema de enviar formularios por internet, lo llevan muy regulero.
¿Cuál es la avería típica? Tienen el router apagado, igual el cable de la fibra lo tienen quitado. Llega otro técnico, ve que no hay otro puerto disponible, le quita y se ponen ellos. Se arranca el cable de fibra y se lo cargan.;Muchas veces son animales, los perros se comen el cable de fibra y te comen 60 pavos por rotula de esas. Una vez me tocó también una que estaba súper indignado, o sea, le llamé yo para avisarle de que iba y me empezó a calentar la cabeza como que llevábamos no sé cuánto tiempo, no sé qué.;3. Pragmatics and Discourse;3.1;Discourse markers;Llego y tenían el cable de fibra quitado del router.
¿Ellos saben quién es Carlos I? Sinceramente, yo creo que no tienen ni idea. Que no le dan importancia al emperador más grande del mundo mundial. Escúchame, es el segundo vídeo en el que doy-- me doy cuenta que históricamente nos ningunean.;Tal cual que para ellos, o sea, la idea de España: playa es sol, sangría es fiesta, paella y toros. O sea, tú les enseñas una foto de Asturias o de Galicia, se buguean, dicen: No, esto no es España.;1. Lexicon and Vocabulary;1.8;Neologisms;El primer día que aterricé, me vino a buscar la profesora con la que trabajé en el colegio al aeropuerto y me dijo: Asegúrate de tener amigos españoles, porque si no, no vas a salir de tu casa.
¿Has tenido algún tipo de problema con algún padre? Porque los padres vienen buscando problemas.;He tenido un problema muy gordo con un padre, pero no fue en una tutoría. Porque los padres vienen buscando problemas.;4. Register and Tone;4.1;Hyperbole and exaggeration;[cambio de tema]
¿Hay un cambio tan disruptivo en un cambio de legislatura cuando gobierna un partido y luego otro?;Me encantaría encontrarme como cuando entras en una empresa que te encuentras… El onboarding. … una memoria con todos los proyectos, qué está por hacer, qué queda, qué presupuesto tengo…;1. Lexicon and Vocabulary;1.8;Neologisms;Eso no se hace. He tenido que salir fuera a pedirlo. Preguntas a las personas y tienes la información. Cuando yo me vaya, dejar mi onboarding para que el que venga siguiente, que en 2 días de estudio, 3 días de lectura, se pusiera el día de cuáles eran mis planes, puede estar de acuerdo, puede no estar de acuerdo, pero por lo menos que pueda continuar.
¿La primera experiencia bestia que tuviste?;No me pillo tanto en shock porque yo he trabajado también casi 2 años en un Burger King. Los baños del Burger King es como una especie de mili para esto. O sea, en plan Voy a Afganistán, sí, pero yo ya lo he visto todo.;1. Lexicon and Vocabulary;1.6;References to popular culture and memes;O sea, en plan rollo Pero así basto que dije, joder, para hacer una zona pija, igual no son tan modositos, fue en plan, llego al baño, unas bragas en el suelo, en plan rollo extendidas, había un poco de sangre y no sé por qué, pensé
¿Por qué os vais a Japón? ¿Cómo se toma esa decisión?;Yo tenía ya mi delusion desde los 12 años, siendo básicamente una otaku cerda de mierda, pero una rata mala. Pero claro, de los 12 años a los 22 dices, ¿cómo coño me voy yo a Japón?;1. Lexicon and Vocabulary;1.8;Neologisms;Hago letras, descubrí que había una carrera en Granada, que es lengua moderna, que es la edad japonesa. Y cuando terminamos dijimos, hostia, es que el año que viene como que no queremos hacer un máster.
¿Qué estereotipos tenéis dentro de Japón? Lo típico, los del norte son así, los del sur son así. Los de Tokio somos un poco sosos. Podría decir que se parece un poco a Madrid porque, bueno, al final es la capital.;La mayoría de los humoristas son de Osaka, o sea que se conocen por ser cachondos.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;"De hecho, hay un vídeo en el que hacen como experimento social. Si haces como este, este gesto y como si estuvieras disparando, a los de Osaka hacen: ¡uh! Y si lo hicieras con los de Tokio, te dirían como: ""¿Qué estás haciendo?"""
¿Qué fuiste, profesor de ciencias?;Profesor de Biología, Física y Química, en el equivalente a segundo de la ESO a segundo de bachillerato. Lo mejor de cada casa. Así que telita.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Cuando huelen fuerte ya, ¿eh? Oh, ya ves tú, un colegio británico, que eso está pa guardar el calor. Tú imagínate cómo olía eso.
¿Tú al siendo occidental, blanco, caucásico, te has sentido observado?;Te tratan diferente, a bien y a mal. Te consideran que eres clase alta, te consideran que tienes dinero, entonces te ven como una cartera con patas en ocasiones.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;No digo todo el mundo, por supuesto, pero muchas veces los comerciantes piensan, oye, voy a intentar encasquetarle y están en todo su derecho.
¿Tú, que tienes amigos españoles que se dedican a lo mismo, esto es algo común?;Claro, lo comenté con los que están en el Gymnasium y ellos me decían: «Hostia, pues a mí eso no me ha pasao nada. Vaya a tener su niño y se lleva una hostia con la mano abierta y cosas así», me decían.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Otras experiencias tendrán, obviamente, supongo. Al final, esto es lo que pasa siempre. Si tú tienes distintos tipos de niños y al final son niños que están repitiendo las cosas que ven en su casa y no los mezclas
¿Y el Cairo qué tal?;Hicimos una ruta de 14 días. Íbamos a Urgeada y hay un tío muy random que nos empieza a seguir. No me acuerdo ni cómo se llama.;1. Lexicon and Vocabulary;1.8;Neologisms;Ramadán, Ramadán. Se llamaba Rabadán. Te lo juro por mi madre que se va a Rabadán y era en Rabadán cuando lo conocimos. Era un pesado el tío, que en verdad lo mirábamos con cariño al pobre, pero era un pesado.
¿Y qué pasa con los padres británicos? Que se creen los reyes del mambo. Mi niño me está diciendo que no se entera bien de tus clases. Y yo llegar a la madre y yo decirle: Mira, Cindy, tu niño mira más a la ventana que a mí.;Alguna que otra vez me han echado bronca a mí su directora y mi jefe de estudios. Por favor, que se te nota que eres español.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;¿Yo qué le hago? ¿Me meto en lejía? ¿Dejo de mirar al sol durante 3 años a ver qué pasa?
A esto el señor, el cliente, venía cada día a recepción, a la misma hora, a preguntar por mí, para llamar al taller, para preguntar cómo iba la cosa. Le preguntaba, pues mira, es que mi cliente está un poco estresado porque no sabe cómo está yendo la reparación;El del taller me suelta, tal cual. Dile a ese gabacho de mierda que no se preocupe, que su coche va a ser listo el viernes a la tarde.;1. Lexicon and Vocabulary;1.6;References to popular culture and memes;Y le digo, le comento al cliente. El viernes a la tarde va a ser listo.
A Gibraltar va el que no puede venir a España ahora con el Brexit porque no tienen visado, no tienen cosas.;También el que está en Gibraltar paga menos. Eso para el inglés, para el que es de aquí, trabaja allí, te follan vivo. Yo hago las 2 declaraciones. Yo trabajando en el McDonald's de Gibraltar pagué 760 euros de hacienda.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;[acaba la conversación]
A lo mejor tiraban en un día cinco mil misiles encima de Tel Aviv, que nunca tiran a Tel Aviv.;Claro, yo me acuerdo muchas veces que a lo mejor estaba donde mi joyero, porque yo tenía allí un joyero en Jerusalén que el tío estaba pinzado de cojones.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Yo no tenía cobertura. Me acuerdo un día que fui para adentro, estuvimos un par de horas hablando, salí, 34 llamadas perdidas, un montón de mensajes, un talillo, ¿qué pasa? Y nada, que habían estado tirando cohetes, que si estaba bien y que si tal.
A ver, que esto no es una cosa aislada, que esto pasa en todos los putos países de todo el mundo, colegios dentro de los guetos, ¿vale?;¿Necesita algún puto método educativo para conseguir rescatar por lo menos unos pocos de esa mierda o hay que resignarse? Ya está, por haber nacido en un sitio estás perdido.;1. Lexicon and Vocabulary;1.1;Lexicon of insult;Se habla con los padres y se intenta recomendar otro colegio, pero muchas veces son los mismos padres que quieren que el niño esté en el colegio más cercano.
Ah, bueno, lo de Xavi.;A esto venía porque luego… El tío lleva gomina en la piscina, bro. El tío lleva gomina en la piscina, que se lo dije a mi compañero, le metí 2 codos y dije, bro, lleva gomina.;3. Pragmatics and Discourse;3.2;Familiar address or vocatives;Tiene medio comprado el Georgie, la empresa entera.
Ah, por cierto, son niños pijos de cojones. Sí, porque en un colegio de estos de Se piensan que no tenemos madres, que somos pobres.;Están como tan completamente comidos con lo que es el dinero y todo eso que se piensan que nos preguntan cuánto cobramos. Me lo pone como en un papel, rollo, me pone tu cobra, no sé cuánto has cobrado.;3. Pragmatics and Discourse;3.1;Discourse markers;Y te lo enseñan así, en plan, así como por debajo, rollo, tu cobra esto. Y yo en plan, niño, que eres un niño de 10 años, ¿sabes lo que te digo, hermano?
Ahora ya más o menos después de tantos años me defiendo bien con el inglés.;El problema es al principio cuando empecé que hay cosas que a ti te piden y tú dices ¿qué coño me está pidiendo este? Unos nuggets, unas patatas, una Coca-Cola normal, un cheeseburger sin cheese y sin onion.;1. Lexicon and Vocabulary;1.8;Neologisms;Y tú decís que también que te pidas una hamburguesa de queso sin cheese y sin onion, que es algo que nunca entenderé del mazón.
Al cabo de los meses, volvió porque el moca furro arrancó el tubo de los aires acondicionaos de estos portátiles y venía pa que se lo reparara y que la garantía se hiciera cargo.;Allí en la tienda te decían que ese tipo de marrones no se le devolvía el dinero, pero claro, cuando viene un tío así desquiciao, tú no quieres tenerlo en la tienda dando por culo todo el santo día, entonces tú lo que tú quieres es quitarlo de en medio.;1. Lexicon and Vocabulary;1.1;Lexicon of insult;Se le hizo la devolución, se le cambia la máquina y fuera.
Al final pones a unos chavalines que no tienen ni idea, tú ponte con 18 años, te vamos a poner un uniforme y te pone con tus 5 colegas, con los que duermes y vives como toda la semana, te ponen con 2 pibas también que una te gusta y la otra no sé qué, y lo que te dará el rifle y de repente viene un niño y te tiene una piedra.;En los checkpoints, claro, es que toda la gente era de mi edad y no es como un servicio militar en Finlandia. Sí, sí, que no es la mili. O sea, te cogen y te mandan a Líbano.;1. Lexicon and Vocabulary;1.3;Lexical shortening and abbreviations;[acaba la conversación]
Allí viene un chaval inmigrante que está un poco perdido porque lleva poco en España y está como muy sujeto a lo que tú le digas y son muy receptivos, te hacen caso todo el rato y después están los niños que están como si fueran, como si estuvieran más cómodos que en su casa.;En su casa tienen 0 educación, no tienen ningún tipo de límites y que lleguen al colegio 1 profesor le diga, siéntate, saca el libro, lo ven como, yo estoy aquí porque me obliga a la ley.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Si es que hasta los mismos padres muchas veces no lo llevan al colegio,
Aquí lo que ha empezado a venir en los últimos años a Sevilla es gente que consume Sevilla como si fuese un parque de atracciones. Sangría, paella ¿pero tú te has informado de lo que hay aquí?;O también está el típico que te dice no, no, yo no quiero tourist traps, quiero una experiencia auténtica de aquí. Y tú les ves y dices no sabes lo que estás pidiendo.;1. Lexicon and Vocabulary;1.8;Neologisms;Aparte de que el turismo se ha cargado la típica experiencia digamos de un bar en Sevilla, un bar en Sevilla la gente se pedía una caña y se la bebía de pie en la puerta. Eso ya es inviable.
Bueno, no le voy a responder yo a la pregunta, pero le voy a facilitar yo un contacto para que usted se pueda informar de si al hospital puede acceder el silla de ruedas su madre o no puede. Que no era de pago, porque nosotros miramos siempre que sea gratuito. Y se lo doy.;Me dice, este teléfono es de pago. Le digo, no, caballero, no es de pago. Es de pago. Empeñado yo que no, caballero, que no es de pago. Me muteo y escucho que dice, la subnormal esta que no se entera de nada. Me desmuteo y le digo, pues caballero, lo que va a hacer es buscar a otra subnormal que se entere de algo, ¿eh?;1. Lexicon and Vocabulary;1.8;Neologisms;Venga, muy buenos días. Y creo que sí, que en los hospitales se puede acceder en silla de ruedas.
